     T1	     x1	     x2	     x3	     x4	     x5	     x6	     s1	    RHS	
      z	     -2	     -3	     -3	     -5	     -2	     -4	      0	      0	
      1	     11	      8	      6	     14	     10	     10	      1	     40	

     T2	     x1	     x2	     x3	     x4	     x5	     x6	     s1	    RHS	
      z	   1,93	  -0,14	  -0,86	      0	   1,57	  -0,43	   0,36	  14,29	
     x4	   0,79	   0,57	   0,43	      1	   0,71	   0,71	   0,07	   2,86	

     T3	     x1	     x2	     x3	     x4	     x5	     x6	     s1	    RHS	
      z	    3,5	      1	      0	      2	      3	      1	    0,5	     20	
     x3	   1,83	   1,33	      1	   2,33	   1,67	   1,67	   0,17	   6,67	

